[Fri Jun 14 09:17:26 2019] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 782
[Fri Jun 14 10:13:49 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 231
[Fri Jun 14 10:13:49 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\modules\sysad\models\Users_model.php, LINE: 135
[Fri Jun 14 10:15:26 2019] [ERROR] [Base_Model->rlog_error] -> 873: SQLSTATE[23000]: Integrity constraint violation: 1452 Cannot add or update a child row: a foreign key constraint fails (`doh_ptis_core`.`users`, CONSTRAINT `users_ibfk_2` FOREIGN KEY (`gender`) REFERENCES `param_genders` (`gender_code`) ON UPDATE CASCADE), FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 886
[Fri Jun 14 10:15:26 2019] [ERROR] [Base_Model->rlog_error] -> 873: SQLSTATE[23000]: Integrity constraint violation: 1452 Cannot add or update a child row: a foreign key constraint fails (`doh_ptis_core`.`users`, CONSTRAINT `users_ibfk_2` FOREIGN KEY (`gender`) REFERENCES `param_genders` (`gender_code`) ON UPDATE CASCADE), FILE: C:\xampp\htdocs\ptis\application\modules\sysad\models\Users_model.php, LINE: 201
[Fri Jun 14 10:15:26 2019] [ERROR] [Base_Model->rlog_error] -> 873: SQLSTATE[23000]: Integrity constraint violation: 1048 Column 'user_id' cannot be null, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 886
[Fri Jun 14 10:15:26 2019] [ERROR] [Base_Model->rlog_error] -> 873: SQLSTATE[23000]: Integrity constraint violation: 1048 Column 'user_id' cannot be null, FILE: C:\xampp\htdocs\ptis\application\modules\sysad\models\Users_model.php, LINE: 689
[Fri Jun 14 10:15:26 2019] [ERROR] [Base_Controller->rlog_error] -> Parameters were not set in the audit trail., FILE: C:\xampp\htdocs\ptis\application\modules\sysad\controllers\Users.php, LINE: 267
[Fri Jun 14 10:15:46 2019] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 782
[Fri Jun 14 10:15:46 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 523
[Fri Jun 14 10:15:46 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 442
[Fri Jun 14 10:15:46 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 231
[Fri Jun 14 10:15:46 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\modules\sysad\models\Users_model.php, LINE: 135
[Fri Jun 14 15:49:40 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'doh_ptis_core.user_roles' doesn't exist, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 436
[Fri Jun 14 15:49:40 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'doh_ptis_core.user_roles' doesn't exist, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 206
[Fri Jun 14 15:49:40 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'doh_ptis_core.user_roles' doesn't exist, FILE: C:\xampp\htdocs\ptis\application\modules\sysad\models\Roles_model.php, LINE: 111
[Fri Jun 14 15:49:40 2019] [ERROR] [] -> Uncaught exception: [42S02] SQLSTATE[42S02]: Base table or view not found: 1146 Table 'doh_ptis_core.user_roles' doesn't exist
#0 C:\xampp\htdocs\ptis\application\core\Base_Model.php(413): PDOStatement->execute(Array)
#1 C:\xampp\htdocs\ptis\application\core\Base_Model.php(202): Base_Model->_select_data(Array, 'user_roles', Array, Array, Array, '', true, NULL, true)
#2 C:\xampp\htdocs\ptis\application\modules\sysad\models\Roles_model.php(107): Base_Model->select_all(Array, 'user_roles', Array, Array)
#3 C:\xampp\htdocs\ptis\application\core\Base_Controller.php(110): Roles_model->get_user_roles('68758d93d73c065...')
#4 C:\xampp\htdocs\ptis\application\core\Base_Controller.php(37): Base_Controller->_get_log_user_roles()
#5 C:\xampp\htdocs\ptis\application\controllers\Auth.php(7): Base_Controller->__construct()
#6 C:\xampp\htdocs\ptis\system\core\CodeIgniter.php(500): Auth->__construct()
#7 C:\xampp\htdocs\ptis\index.php(293): require_once('C:\\xampp\\htdocs...')
#8 {main}, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 413
